 Hgtkm DensMean DensPert
307 153.5 2.08E-09 2.08E-09
308 154 2.03E-09 2.03E-09
309 154.5 1.99E-09 1.99E-09
310 155 1.94E-09 1.94E-09
311 155.5 1.90E-09 1.90E-09
312 156 1.85E-09 1.85E-09
313 156.5 1.81E-09 1.81E-09
314 157 1.77E-09 1.77E-09
315 157.5 1.73E-09 1.73E-09
316 158 1.70E-09 1.70E-09
317 158.5 1.66E-09 1.66E-09
318 159 1.63E-09 1.63E-09
319 159.5 1.59E-09 1.59E-09
320 160 1.56E-09 1.56E-09
321 160.5 1.53E-09 1.53E-09
322 161 1.49E-09 1.49E-09
323 161.5 1.46E-09 1.46E-09
324 162 1.43E-09 1.43E-09
325 162.5 1.41E-09 1.41E-09
326 163 1.38E-09 1.38E-09
327 163.5 1.35E-09 1.35E-09
328 164 1.32E-09 1.32E-09
329 164.5 1.30E-09 1.30E-09
330 165 1.27E-09 1.27E-09
331 165.5 1.25E-09 1.25E-09
332 166 1.22E-09 1.22E-09
333 166.5 1.20E-09 1.20E-09
334 167 1.18E-09 1.18E-09
335 167.5 1.16E-09 1.16E-09
336 168 1.14E-09 1.14E-09
337 168.5 1.11E-09 1.11E-09
338 169 1.09E-09 1.09E-09
339 169.5 1.07E-09 1.07E-09
340 170 1.06E-09 1.06E-09
341 170.5 1.04E-09 1.04E-09
342 171 1.02E-09 1.02E-09
343 171.5 1.00E-09 1.00E-09
344 172 9.82E-10 9.82E-10
345 172.5 9.65E-10 9.65E-10
346 173 9.49E-10 9.49E-10
347 173.5 9.32E-10 9.32E-10
348 174 9.16E-10 9.16E-10
349 174.5 9.01E-10 9.01E-10
350 175 8.86E-10 8.86E-10
351 175.5 8.71E-10 8.71E-10
352 176 8.56E-10 8.56E-10
353 176.5 8.42E-10 8.42E-10
354 177 8.28E-10 8.28E-10
355 177.5 8.15E-10 8.15E-10
356 178 8.01E-10 8.01E-10
357 178.5 7.89E-10 7.89E-10
358 179 7.76E-10 7.76E-10
359 179.5 7.63E-10 7.63E-10
360 180 7.51E-10 7.51E-10
361 180.5 7.39E-10 7.39E-10
362 181 7.28E-10 7.28E-10
363 181.5 7.17E-10 7.17E-10
364 182 7.05E-10 7.05E-10
365 182.5 6.95E-10 6.95E-10
366 183 6.84E-10 6.84E-10
367 183.5 6.73E-10 6.73E-10
368 184 6.63E-10 6.63E-10
369 184.5 6.53E-10 6.53E-10
370 185 6.43E-10 6.43E-10
371 185.5 6.34E-10 6.34E-10
372 186 6.24E-10 6.24E-10
373 186.5 6.15E-10 6.15E-10
374 187 6.06E-10 6.06E-10
375 187.5 5.97E-10 5.97E-10
376 188 5.88E-10 5.88E-10
377 188.5 5.80E-10 5.80E-10
378 189 5.71E-10 5.71E-10
379 189.5 5.63E-10 5.63E-10
380 190 5.55E-10 5.55E-10
381 190.5 5.47E-10 5.47E-10
382 191 5.40E-10 5.40E-10
383 191.5 5.32E-10 5.32E-10
384 192 5.24E-10 5.24E-10
385 192.5 5.17E-10 5.17E-10
386 193 5.10E-10 5.10E-10
387 193.5 5.03E-10 5.03E-10
388 194 4.96E-10 4.96E-10
389 194.5 4.89E-10 4.89E-10
390 195 4.83E-10 4.83E-10
391 195.5 4.76E-10 4.76E-10
392 196 4.70E-10 4.70E-10
393 196.5 4.63E-10 4.63E-10
394 197 4.57E-10 4.57E-10
395 197.5 4.51E-10 4.51E-10
396 198 4.45E-10 4.45E-10
397 198.5 4.39E-10 4.39E-10
398 199 4.33E-10 4.33E-10
399 199.5 4.28E-10 4.28E-10
400 200 4.22E-10 4.22E-10
